danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.548,0.168,2,-18.083,1,0.425,0.935,0.0,0.185,0.393,171.653,audio_features,7yUkqS4363IdoeYcxGsF7p,spotify:track:7yUkqS4363IdoeYcxGsF7p,https://api.spotify.com/v1/tracks/7yUkqS4363IdoeYcxGsF7p,https://api.spotify.com/v1/audio-analysis/7yUkqS4363IdoeYcxGsF7p,83351,3
0.6,0.462,11,-14.605,0,0.0421,0.668,3.09e-05,0.365,0.912,91.676,audio_features,7A3eu2OwcCa2UED72HOHec,spotify:track:7A3eu2OwcCa2UED72HOHec,https://api.spotify.com/v1/tracks/7A3eu2OwcCa2UED72HOHec,https://api.spotify.com/v1/audio-analysis/7A3eu2OwcCa2UED72HOHec,190704,4
0.737,0.147,0,-17.551,1,0.597,0.942,0.0,0.38,0.562,84.456,audio_features,3u6HUbdQXUKczfhWpWkFqf,spotify:track:3u6HUbdQXUKczfhWpWkFqf,https://api.spotify.com/v1/tracks/3u6HUbdQXUKczfhWpWkFqf,https://api.spotify.com/v1/audio-analysis/3u6HUbdQXUKczfhWpWkFqf,84280,3
0.499,0.863,10,-5.625,0,0.0425,0.653,0.000826,0.542,0.938,157.382,audio_features,6ITfp546tBBvFzG1qX8vXl,spotify:track:6ITfp546tBBvFzG1qX8vXl,https://api.spotify.com/v1/tracks/6ITfp546tBBvFzG1qX8vXl,https://api.spotify.com/v1/audio-analysis/6ITfp546tBBvFzG1qX8vXl,339853,3
0.527,0.0832,7,-28.689,1,0.746,0.965,0.0,0.628,0.493,84.626,audio_features,0UEOWhqgVQ1LycrCAEdSQq,spotify:track:0UEOWhqgVQ1LycrCAEdSQq,https://api.spotify.com/v1/tracks/0UEOWhqgVQ1LycrCAEdSQq,https://api.spotify.com/v1/audio-analysis/0UEOWhqgVQ1LycrCAEdSQq,108307,3
0.54,0.667,3,-9.207,1,0.122,0.302,0.0,0.192,0.76,120.645,audio_features,6GJjQjCQdzAsewmsmGuXDb,spotify:track:6GJjQjCQdzAsewmsmGuXDb,https://api.spotify.com/v1/tracks/6GJjQjCQdzAsewmsmGuXDb,https://api.spotify.com/v1/audio-analysis/6GJjQjCQdzAsewmsmGuXDb,369205,4
0.263,0.0727,3,-25.666,1,0.136,0.977,0.0331,0.115,0.0384,167.624,audio_features,4PwPsWXPj5HEizjALlGnJD,spotify:track:4PwPsWXPj5HEizjALlGnJD,https://api.spotify.com/v1/tracks/4PwPsWXPj5HEizjALlGnJD,https://api.spotify.com/v1/audio-analysis/4PwPsWXPj5HEizjALlGnJD,106627,4
0.376,0.388,9,-14.869,0,0.0438,0.825,0.0,0.124,0.511,128.335,audio_features,4NdcmazzHZlFyUMzx5vEnT,spotify:track:4NdcmazzHZlFyUMzx5vEnT,https://api.spotify.com/v1/tracks/4NdcmazzHZlFyUMzx5vEnT,https://api.spotify.com/v1/audio-analysis/4NdcmazzHZlFyUMzx5vEnT,193008,4
0.695,0.2,7,-17.756,1,0.766,0.97,0.0,0.671,0.371,127.17,audio_features,54D1Yqn4lnr6ltTVVRXqbZ,spotify:track:54D1Yqn4lnr6ltTVVRXqbZ,https://api.spotify.com/v1/tracks/54D1Yqn4lnr6ltTVVRXqbZ,https://api.spotify.com/v1/audio-analysis/54D1Yqn4lnr6ltTVVRXqbZ,173720,3
0.496,0.448,10,-15.027,1,0.0565,0.653,0.00463,0.217,0.357,118.041,audio_features,6xO3SmNmVtaygvN66l0tAT,spotify:track:6xO3SmNmVtaygvN66l0tAT,https://api.spotify.com/v1/tracks/6xO3SmNmVtaygvN66l0tAT,https://api.spotify.com/v1/audio-analysis/6xO3SmNmVtaygvN66l0tAT,238528,3
